ID,NOM_TL,ADRESSE,CP,COMINIT,INSEECOM,NOMCOM,WEB,TWITTER,FACEBOOK,TYPO,LAT,LONG,GEOCOD,PRECISION,CONTACT,MAIL,METRO,NOMMETRO,INSEEREG,NOMREG,INSEEMETRO,INSEEDEP,NOMCOMMETRO,POPCOM,COMCLASS,INSEE_ZE,NOM_ZE,CLASS_ZE,POP_ZE
1245,La Fabrique numérique,Centre socio-Culturel Marc sangnier La Fauconnière,95500,Gonesse,95277,Gonesse,http://www.fabnum.org/,https://twitter.com/lesConnecteurs,https://www.facebook.com/lafabriquenumerique.gonesse/,Tiers lieux à dominante fablab,49.001917,2.422795,Place Marc Sangnier 95500 Gonesse,0.44,,,0,,11,Île-de-France,95277,95,Gonesse,26020,20000-50000,56,ROISSY - SUD PICARDIE,500 000-6 000 000,1710836
1246,SQYLAB,4 rue Louis Lormand,78320,La Verrière,78644,La Verrière,http://sqylab.org/,https://twitter.com/Le_Hatlab,https://www.facebook.com/SqylabFabLab/,Tiers lieux à dominante fablab,48.757389,1.943234,4 Rue Louis Lormand 78320 La Verrière,0.91,,,0,,11,Île-de-France,78644,78,La Verrière,5995,5000-20000,1116,SACLAY,500 000-6 000 000,1169116
1247,La Fab'rique,1 rue Jacques de Corbière,35150,Amanlis,35002,Amanlis,http://lafabriqueccprf.wordpress.com,https://twitter.com/lafabriqueccprf,https://www.facebook.com/lafabriqueCCPRF/,Tiers lieux à dominante fablab,48.003512,-1.474943,1 Rue Jacques de Corbière 35150 Amanlis,0.91,,,0,,53,Bretagne,35002,35,Amanlis,1672,0-5000,5312,RENNES,500 000-6 000 000,801211
1248,Squaregolab,96 rue de Zurich,66000,Perpignan,66136,Perpignan,http://www.squaregolab.com,https://twitter.com/squaregolab,https://www.facebook.com/squaregolabfr,Tiers lieux à dominante fablab,42.689277,2.850329,96 Rue de Zurich 66000 Perpignan,0.93,,,0,,76,Occitanie,66136,66,Perpignan,120605,100000 et plus,9115,PERPIGNAN,200 000-500 000,349959
1249,FabLac,Maison des associations 2 place de l'église,74200,Anthy-sur-Léman,74013,Anthy-sur-Léman,http://fablac.fr,http://twitter.com/FabLab_Leman,http://www.facebook.com/fablab.leman,Tiers lieux à dominante fablab,46.355562,6.426128,2 Place de l'Église 74200 Anthy-sur-Léman,0.57,,,0,,84,Auvergne et Rhône-Alpes,74013,74,Anthy-sur-Léman,2131,0-5000,8222,LE CHABLAIS,50 000-100 000,97295
1250,FabLab 276,Voie de la Palestre,27100,V al-de-Reuil,27701,Val-de-Reuil,http://www.fablab276.org,https://twitter.com/Fablab276,https://www.facebook.com/pages/FabLab-276/440132109521107,Tiers lieux à dominante fablab,49.274231,1.211949,Voie de la Palestre 27100 Val-de-Reuil,0.85,,,0,,28,Normandie,27701,27,Val-de-Reuil,13158,5000-20000,2307,ROUEN,500 000-6 000 000,834093
1251,FabLab73,Cité scolaire Jean Moulin 12 rue Félix Chautemps,73200,Albertville,73011,Albertville,http://www.fablab73.fr/,,https://www.facebook.com/fablab73.fr?ref=hl,Tiers lieux à dominante fablab,45.673982,6.389102,12 Rue Félix Chautemps 73200 Albertville,0.57,,,0,,84,Auvergne et Rhône-Alpes,73011,73,Albertville,18950,5000-20000,8215,LA TARENTAISE,100 000-200 000,109151
1252,Art3Fact,Pulseo 1 Avenue de la Gare,40100,DAX,40088,Dax,http://www.pulseo.fr/art3fact-lab,,https://www.facebook.com/art3factlab,Tiers lieux à dominante fablab,43.719944,-1.051884,1 Avenue de la Gare 40100 Dax,0.75,,,0,,75,Nouvelle Aquitaine,40088,40,Dax,20485,20000-50000,7208,DAX,100 000-200 000,176688
1253,FabNLab de Clamecy,Rue de Druyes (Parc Vauvert),58500,Clamecy,58079,Clamecy,https://goo.gl/4jodRc,,https://www.facebook.com/fabnlab,Tiers lieux à dominante fablab,47.460995,3.515726,Parc Vauvert 58500 Clamecy,0.59,,,0,,27,Bourgogne et Franche-Comté,58079,58,Clamecy,3889,0-5000,52,COSNE - CLAMECY,50 000-100 000,74393
1254,FABLAB74,Polytech 5 Chemin de Bellevue,74940,ANNECY-LE-VIEUX France,74010,Annecy,www.fablab74.com,,,Tiers lieux à dominante fablab,45.919195,6.157878,5 Chemin de Bellevue 74940 Annecy,0.53,,,0,,84,Auvergne et Rhône-Alpes,74011,74,Annecy-le-Vieux,20469,20000-50000,8218,ANNECY,200 000-500 000,292006
